PL_Number,LEA,POLE TYPE,POLE MAKE,ROAD NAME,SIDE,DP COUNT,FDP COUNT,NUMBER OF RISERS,NO OF DROP WIRES(COPPER),NO OF DROP WIRES(FIBER),ADJACENT PREVIOUS,POWER ENCLOSURE,MOUNTED MSAN,RISER PIPE,STAYS,STRUT,OVERHEAD GUY,BARBED,POLE HEIGHT,REMARK,JOINT,LAC,Exist_New,Longitute,Latitude
KL-PL-SVK-00009,KL,Concrete,SLT,Kalmunai - Chavalakadai Road,LHS,,0,0,,,,0,0,0,No,0,0,,6.7m,,0,,Exist,81.7750414976935,7.41128042071111
KL-PL-SVK-00008,KL,Concrete,SLT,Kalmunai - Chavalakadai Road,LHS,,0,0,,,,0,0,0,No,0,0,,6.7m,,0,,Exist,81.7754111437625,7.41155768450498
KL-PL-SVK-00007,KL,Concrete,SLT,Kalmunai - Chavalakadai Road,LHS,,0,0,,,,0,0,0,No,0,0,,6.7m,,0,,Exist,81.7756973084069,7.41178365659825
KL-PL-SVK-00006,KL,Concrete,SLT,Kalmunai - Chavalakadai Road,LHS,,0,0,,,,0,0,0,No,0,0,,6.7m,,0,,Exist,81.7759738584379,7.41200281874328
KL-PL-SVK-00005,KL,Concrete,SLT,Kalmunai - Chavalakadai Road,LHS,,0,0,,,,0,0,0,No,0,0,,6.7m,,0,,Exist,81.7762844231555,7.41223702015
KL-PL-SVK-00004,KL,Concrete,SLT,Kalmunai - Chavalakadai Road,LHS,,0,0,,,,0,0,0,No,0,0,,6.7m,,0,,Exist,81.7765834880327,7.41246611583322
KL-PL-SVK-00036,KL,Concrete,SLT,Kalmunai - Chavalakadai Road,RHS,,1,0,,,,0,0,0,No,0,0,,6.7m,,0,,Exist,81.7861556735021,7.41878062106706
KL-PL-SVK-00035,KL,Concrete,SLT,Kalmunai - Chavalakadai Road,RHS,,0,0,,,,0,0,0,No,0,0,,6.7m,,0,,Exist,81.7864905497373,7.41900115066262
KL-PL-SVK-00034,KL,Concrete,SLT,Kalmunai - Chavalakadai Road,RHS,,0,0,,,,0,0,0,No,0,0,,6.7m,,0,,Exist,81.7868119814959,7.41920449861366
KL-PL-SVK-00033,KL,Concrete,SLT,Kalmunai - Chavalakadai Road,RHS,,0,0,,,,0,0,0,No,0,0,,6.7m,,0,,Exist,81.7871333284217,7.41940104431459
